segment,statement_index,start,end,statement,is_i_statement,is_we_statement,i_pronoun_count,we_pronoun_count
12,0,56.619,57.179,That is the case,False,False,0,0
17,0,71.718,72.179,Very good,False,False,0,0
18,0,72.219,73.78,"Well, thank you, thank you",False,False,0,0
19,0,73.9,90.936,"It's great to be here, this historic place, and to see that so many are equally concerned and supportive of the United Nations and a multilateral answer to the problems of the day",False,False,0,0
20,0,92.198,93.979,"This next election,",False,False,0,0
21,0,95.103,109.409,"of the Secretary General of the United Nations, in my opinion, might arguably be the most consequential one in the history of the organization",True,False,1,0
22,0,109.549,111.37,And I believe this because,True,False,1,0
23,0,112.839,127.34,"of the diagnostic on which I think everybody would more or less agree on how we see the world conflict, fragmentation, polarization, the return of interstate war",True,True,1,1
24,0,129.002,131.023,global crisis of different natures,False,False,0,0
25,0,131.103,157.218,"But what is especially worrying this time and for this particular selection process is that we see a fundamental, I would say, crisis of confidence in the United Nations, in the possibility and in the ability of the United Nations to be a factor that would be able to influence",True,True,1,1
26,0,158.001,164.925,precisely world affairs and in particular the pursuit of international peace and security,False,False,0,0
27,0,166.346,181.456,I said just now interstate war has returned after many years here in Europe but also in Africa and in many other places and one dismaying,True,False,1,0
28,0,182.901,208.72,"element that we see when we look at each and every crisis, you know, from Africa in Sudan, of course, to Ukraine and Russia to the Middle East or Cambodia and Thailand or India and Pakistan or Azerbaijan and Armenia in its time, is one constatation",False,True,0,2
29,0,209.761,211.442,The UN is not there,False,False,0,0
30,0,213.199,223.984,the UN is absent from the managing or the resolution of any of the conflicts I have just mentioned,True,False,1,0
31,0,225.024,226.025,And it needn't be so,False,False,0,0
32,0,227.185,227.865,It needn't be so,False,False,0,0
33,0,229.706,235.949,Some say the United Nations has to play a role in this thing,False,False,0,0
34,0,237.158,241.5,"Well, it's not going to happen unless we do things differently",False,True,0,1
35,0,241.9,248.303,It's not going to happen because we believe in that or there's a principle about that,False,True,0,1
36,0,248.843,265.91,"It is only going to happen when there is a conviction in leaders in belligerent nations that the participation of the United Nations, and in particular the Secretary General, is going to",False,False,0,0
37,0,267.402,272.343,facilitate a better outcome than what they are currently having,False,False,0,0
38,0,273.744,279.806,And this conviction grew in me because of my own experience,True,False,2,0
39,0,280.686,287.828,It's not an idea that I had or some words that I tried to put nicely on a piece of paper in the vision,True,False,2,0
40,0,288.548,294.05,"This is what I have been doing in Russia and Ukraine, under fire,",True,False,1,0
41,0,296.055,306.78,"a front line, a separation of the power plant between China and Japan, Iran and Israel and the United States",False,False,0,0
