segment,statement_index,start,end,statement,is_i_statement,is_we_statement,i_pronoun_count,we_pronoun_count
14,0,84.112,84.833,"Thank you, Lise",False,False,0,0
15,0,86.217,91.78,"Excellencies and friends, it is a true pleasure to be back in London",False,False,0,0
16,0,92.581,103.127,I was here already in January at the invitation of UN and UK and what I did is I spoke about a world in crisis,True,False,3,0
17,0,104.508,113.814,"Conflicts, famine, climate shocks, whining of global cooperation, the UN under strain",False,False,0,0
18,0,115.596,118.819,And I wish I could say things have improved,True,False,2,0
19,0,119.86,122.062,And we know they haven't,False,True,0,1
20,0,123.643,127.306,That is why I want to speak plainly this evening,True,False,1,0
21,0,128.867,131.209,Nobody wants another careful speech,False,False,0,0
22,0,132.31,134.472,What we need is we need action,False,True,0,2
23,0,135.994,138.616,And I want to focus on four things this evening,True,False,1,0
24,0,139.517,143.2,"First, I want to talk about prevention",True,False,1,0
25,0,144.619,154.564,"The UN was created to prevent war, a solemn promise made when bombs were still raining down in this city",False,False,0,0
26,0,155.544,160.307,"But too often, the UN arrives after the worst has happened",False,False,0,0
27,0,161.307,163.508,What we need is bold ideas,False,True,0,1
28,0,164.669,169.191,"As Secretary General, I will establish a prevention and early action hub",True,False,1,0
29,0,170.191,172.274,And its purpose is very simple,False,False,0,0
30,0,173.054,182.306,To ensure that warnings reach decision makers early and that action can be taken before the situation gets worse,False,False,0,0
31,0,183.789,190.474,The Secretary-General must always be ready to lead these efforts,False,False,0,0
32,0,191.235,204.185,"She must focus on addressing the consequences of a crisis, whether that's diplomacy to secure life-saving support or working together to manage energy shocks or food shortages",False,False,0,0
33,0,205.193,216.639,"And the Secretary-General must recognise when the UN needs to be centre stage, but also when it's a better place to play a supporting role",False,False,0,0
34,0,218.059,224.783,"Second, we must put people at the heart of development, not the UN",False,True,0,1
35,0,225.993,233.338,"With support from countries like the UK, the UN has saved and transformed millions of lives",False,False,0,0
36,0,234.078,236.179,We must not forget that,False,True,0,1
37,0,237.56,241.983,The Sustainable Development Goals remain the right ambition,False,False,0,0
38,0,242.923,245.325,But ambition is not action,False,False,0,0
39,0,246.165,250.368,Countries do not need another summit or another slogan,False,False,0,0
40,0,251.289,252.81,They need the money,False,False,0,0
41,0,253.736,257.68,the technology and the institutions to deliver for their people,False,False,0,0
42,0,260.302,264.165,Developments cannot be delivered from New York,False,False,0,0
43,0,265.106,266.367,I strongly believe that,True,False,1,0
44,0,267.488,277.938,"We need a leaner UN that can focus on where it adds most value, a local first approach that empowers people and governments",False,True,0,1
