segment,start,end,duration_seconds,text
163,1361.813,1365.955,4.14,I believe that the international system is fragmented.
164,1367.148,1369.388,2.24,because trust has been weakened.
165,1370.429,1374.85,4.42,"And without trust, multilateralism cannot deliver."
166,1375.85,1381.891,6.04,"If selected Secretary General, I would champion three concrete changes."
167,1383.051,1389.953,6.9,"First, I would work to bring the United Nations back to its member states."
168,1391.173,1396.234,5.06,Reform must be owned by countries large
169,1396.838,1399.318,2.48,"and small, north and south."
170,1400.319,1406.04,5.72,The UN must listen more and act with more inclusiveness.
171,1407.92,1426.603,18.68,"As Secretary General, I will be a bridge builder, someone able to speak to everyone, listen to everyone, bring positions closer, and maintain dialogue even in times of high tension."
172,1428.586,1432.327,3.74,"Second, I would make the UN more effective on the ground."
173,1433.587,1444.129,10.54,"When they must be rationalized and clear, resources better used and results better measured."
174,1445.529,1455.731,10.2,"Third, while taking care of human rights, I would also make development a central pillar of peace."
175,1456.852,1458.312,1.46,We cannot fight terrorism.
176,1459.005,1464.608,5.6,instability or migration only with security responses.
177,1466.289,1481.456,15.17,"We must win the battle of development by promoting jobs for youth, women, investment, infrastructure, climate justice, and fair access to finance."
178,1483.017,1486.759,3.74,The Secretary General has no army and no police
179,1488.027,1496.09,8.06,"His true strength is credibility, impartiality, and moral authority."
180,1497.391,1499.592,2.2,I'm not running for a career.
181,1500.692,1515.258,14.57,"I'm running for impact to rebuild trust, restore dialogue, and help make the United Nations a stronger tool of collective action."
