start	end	text
7330	11831	Our third candidate is Rafael Grossi, a name you may recognize because he's in the news.
11891	22133	He's an Argentine diplomat with a long career, and he has been leading the International Atomic Energy Agency, the IAEA, since 2010.
22634	25814	He's the first person from Latin America to do so.
25894	27155	He was re-elected.
27755	30836	It's a hard thing to do to take on a second term.
30996	34836	And Rafael Grossi is nominated by his own country, Argentina.
34916	37197	Please join me in welcoming Rafael Grossi.
44681	45001	Thank you.
45021	45842	Good to see you.
49194	52516	I don't know how he has time to run for Secretary General.
52536	54538	I mean, he's trying to find a way out of the Iran war.
54998	56459	But anyway, that's his commitment.
56619	57179	That is the case.
57259	57540	Yes.
57900	59661	Welcome, Rafael Grossi.
60201	68207	We're going to give you five minutes to set out your vision about how you see the job as UN Secretary General and how you're going to do it.
68587	71129	Five minutes and I will give you a four minute warning.
71718	72179	Very good.
72219	73780	Well, thank you, thank you.
73900	90936	It's great to be here, this historic place, and to see that so many are equally concerned and supportive of the United Nations and a multilateral answer to the problems of the day.
92198	93979	This next election,
95103	109409	of the Secretary General of the United Nations, in my opinion, might arguably be the most consequential one in the history of the organization.
109549	111370	And I believe this because
112839	127340	of the diagnostic on which I think everybody would more or less agree on how we see the world conflict, fragmentation, polarization, the return of interstate war.
129002	131023	global crisis of different natures.
131103	157218	But what is especially worrying this time and for this particular selection process is that we see a fundamental, I would say, crisis of confidence in the United Nations, in the possibility and in the ability of the United Nations to be a factor that would be able to influence
158001	164925	precisely world affairs and in particular the pursuit of international peace and security.
166346	181456	I said just now interstate war has returned after many years here in Europe but also in Africa and in many other places and one dismaying
182901	208720	element that we see when we look at each and every crisis, you know, from Africa in Sudan, of course, to Ukraine and Russia to the Middle East or Cambodia and Thailand or India and Pakistan or Azerbaijan and Armenia in its time, is one constatation.
209761	211442	The UN is not there.
213199	223984	the UN is absent from the managing or the resolution of any of the conflicts I have just mentioned.
225024	226025	And it needn't be so.
227185	227865	It needn't be so.
229706	235949	Some say the United Nations has to play a role in this thing.
237158	241500	Well, it's not going to happen unless we do things differently.
241900	248303	It's not going to happen because we believe in that or there's a principle about that.
248843	265910	It is only going to happen when there is a conviction in leaders in belligerent nations that the participation of the United Nations, and in particular the Secretary General, is going to
267402	272343	facilitate a better outcome than what they are currently having.
273744	279806	And this conviction grew in me because of my own experience.
280686	287828	It's not an idea that I had or some words that I tried to put nicely on a piece of paper in the vision.
288548	294050	This is what I have been doing in Russia and Ukraine, under fire,
296055	306780	a front line, a separation of the power plant between China and Japan, Iran and Israel and the United States.
307340	322767	In many places, on many occasions, I have seen firsthand and through my own experience that it is possible to play a role, and not only to play a role for the sake of playing a role,
323547	343560	is that you can and the multilateral platform, in this case the IEA, but it embodies in a certain sense the logic and the spirit of the United Nations, we can see that this or through this intervention we can prevent a nuclear accident
344020	359865	we can provide platforms for a solution on the ongoing crisis about Iran or before that Syria or before that Iraq and all of these situations that we've had.
360305	375888	So this idea that there is a centrality of the peace and security mission is not because there is a dereliction or any form of marginalization of the other pillars of the UN mission.
376188	380189	It is because we have to look at what is happening in the world right now.
380849	385910	And when war reigns, there is no human right to be defended.
386690	392735	When war reigns, there is no developmental mission that can remotely be successful.
393435	395417	Thank you very much.
395877	397218	That is very, very important.
398079	408626	Of course, when it comes to development, this requires a profound soul search when it comes to the work of the United Nations.
409207	410228	By the metrics,
411395	416600	that the UN applied to itself, which would be what?
416640	418662	Sustainable development goals.
418902	423367	When we look at that, and mind you, 2030 is around the corner.
423507	425469	It's a rules-based order in your five minutes are up.
425689	426009	Thank you.
434616	436497	You called it a consequential decision.
436557	436757	Yeah.
436937	438518	It's been said many times tonight.
438598	439679	Everyone here agrees with that.
439719	449684	We also heard from the former Prime Minister of New Zealand, former UN official, Helen Clark, who said it is so consequential that now is the time for a woman to lead the organization.
450585	452226	Why are you the best woman for the job?
455587	459189	When we, I think this has to be taken very seriously.
460490	462231	What, the need for a woman or?
462251	463952	The issue of man or woman.
464802	466803	the issue of a man or a woman.
467944	477850	When we are selecting Secretary General, we are selecting a person, the best person for the job, the best person for the job.
481813	489718	And to be the best person, the best person to incarnate this crucial function,
491063	497634	There is track record, there is merit, there is the capacity to federate, there is the capacity to generate consensus.
498612	501434	it can be a man, it can be a woman.
501894	517623	And I say this from the moral comfort of being myself a gender champion, from having taken a technical organization that when I took it over had 28% of women professionals and today it has 53% in the space of five years.
517923	520885	So I don't need anybody to tell me about
521585	536719	this so we need to select the best and we have seen tonight we are having the privilege to listen to very distinguished women candidates so the sacrosanct principle here is the equality of possibilities and opportunities between men and women as simple as that.
