start	end	text
386286	388148	Hello, I'm Zeina Badawi.
388308	394534	Welcome to the Maison de la Paix in Geneva for this UN Secretary-General debate.
394995	409530	Now, of course, Geneva is a city which is home to numerous UN bodies, so there is a lot of buzz in the city about who is going to be the next Secretary-General of the United Nations, who will succeed Antonio Guterres at the start of the year.
409930	412371	Well, currently there are five candidates.
412872	414732	Three of them are with me here on stage.
414773	417314	We have a video intervention from the fourth.
417774	434622	So we're going to be testing their suitability by asking them questions from our audience here about whether they are really the right person to take on this enormous role at a critical time, not only for the UN itself, but at a time in global history.
435143	439465	Before we hear from the candidates, we're going to set the scene with this brief film.
446582	459225	More than 80 years after its founding, the question of who leads the United Nations is more important than ever before because in 2026, the global order is at a decisive moment.
460365	474529	There's not only a series of protracted conflicts which scar the world, but there's also a growing distrust in global institutions and a weakening of the multilateral consensus that has held since the Second World War.
476233	488695	Despite these pressures, the United Nations remains the only universal forum where all member states can come together, an institution that is often a lifeline for millions of people around the world.
489658	499244	At the same time, it's being called upon to become more agile, representative and effective, capable of responding to the challenges of the 21st century.
499884	511712	And that is why the choice of the next Secretary General is not merely a moment of institutional transition, it is a decision about the very future of multilateralism.
513352	517715	The leadership required today demands more than just diplomatic experience.
517775	524019	It calls for a figure who can uphold the UN Charter and the principles of international law.
524479	528502	Someone who can strengthen cooperation in a fragmented world.
528902	533865	Someone who can turn conflict and confrontation into dialogue and negotiation.
534886	546504	In a nutshell, the UN Charter's founding principles uphold the human rights of all peoples and equality between men and women and nations, big or small.
548097	565220	The UN needs leadership that can act in profoundly difficult, dangerous and complex environments with an understanding of crises on the ground and a genuine commitment to advancing sustainable solutions on a planet increasingly affected by climate change.
566399	583776	The legitimacy of the next Secretary General will depend not only on the support of member states, but also on the trust of societies, communities affected by conflict, and younger generations who may question the credibility of the current international system.
585217	589461	Today, the candidates come together in a shared public debate space.
590415	597501	a place to contrast visions, priorities and leadership approaches in a response to current global challenges.
598542	613135	This debate is not only a presentation of candidacies, it is a global conversation at a pivotal time in history about the kind of leadership the international community needs for the years and decades ahead.
626625	633792	So a brief outline there of the kind of challenges that lie ahead for the next Secretary General of the United Nations.
633853	642141	Now, this is a post which one former Secretary General of the UN described as the most impossible job on this earth.
642601	647006	So why on earth do these candidates want to assume the position?
647587	649327	me tell you who they are and we'll find out why.
649628	673013	Rebecca Grinspan was a vice president in her native Costa Rica and she's currently head of UNCTAD which is the UN's body on trade and development but Rebecca I know you've stepped down temporarily while you're doing all your candidacy stuff so thank you very nice to see you Rebecca and also we have Maria Espinoza from Ecuador where she served as foreign and defense minister and Maria you've also been
673773	676294	president of the UN General Assembly, so welcome to you.
676814	682057	And Michelle Bachelet was president of Chile until 2018, but she's an old UN hand.
682077	686699	She's also been head of UN Women and the UN Human Rights Council.
686759	688720	So that is our panel here with us.
689060	690200	Welcome to you all.
690220	691281	Give them a round of applause.
691641	692081	Thank you.
698969	701011	As I said at the outset, there are five candidates.
701051	706758	We also have President Macisal, former president of Senegal, who was sent us a video intervention.
706778	708960	We'll be hearing from him a little bit later.
709100	714286	And also Rafael Grossi from Argentina, who was the current head of the IAEA.
714326	715047	That's the UN's
715387	718410	Body International Atomic Energy Agency.
718810	722474	Now he's not available to be with us and he also chose not to send us a video.
722994	735066	So now let's start with our questions from our audience here in the Maison de la Paix and the first question is from Eugenia Rogers who's a Geneva Graduate Institute student.
735526	737108	Eugenia your question please.
739175	740275	Thank you very much.
740455	742096	It's such a pleasure to be here.
742796	755539	My question for you is that many young people around the world feel that multilateral institutions are struggling to deliver on the challenges that matter most to our futures.
756039	768982	So what would you do as Secretary General to rebuild trust in the United Nations among younger generations and demonstrate that multilateralism can still be a force for change?
769322	769782	Thank you.
770763	775125	So let's take that second bit of the question there, because we're going to talk about the role of the SG presently.
775205	778647	So how can you revive trust in multilateralism?
779087	779467	Rebecca.
