segment,start,end,duration_seconds,text
15,90.205,93.267,3.06,"Please do this because I'm Latin American, so do that."
16,94.428,105.631,11.2,"Well, the excellencies and dear friends, my candidacy for Secretary General of the United Nations is grounded on one clear conviction."
17,106.291,108.672,2.38,We must build the United Nations the world needs.
18,109.672,115.274,5.6,"A UN that not merely administered the present, but one with the capacity to transform it."
19,116.194,117.835,1.64,An organization that's more effective
20,118.735,123.298,4.56,"more transparent, closer to the people, and capable of delivering concrete results."
21,124.199,139.108,14.91,"My own vision was born of a difficult and sometimes improbable miracle of dialogue, even though when all odds were against it, I have seen it transform the impossible into the achievable."
22,140.109,145.012,4.9,Trust in the international order and trust in our institutions are mutually reinforcing.
23,145.942,149.885,3.94,both require robust experience and firm commitment to the short term.
24,151.166,167.881,16.72,I stand before you to reclaim the urgent need for dialogue because deliberation and multilateral cooperation have been the operative platform upon which this organization was built and they remain the bridge to our future.
25,169.142,172.665,3.52,I believe in a nation that looks in four directions at once.
26,173.603,174.523,0.92,"First, backwards."
27,175.444,177.705,2.26,It remains true to the principles of the Charter.
28,178.805,183.767,4.96,I think the principles of the Charter are the moral and political compass of the international system.
29,184.787,189.029,4.24,Any reform must serve to better realise that founding vision.
30,189.809,193.771,3.96,"Second, inward, to modernise and strengthen the institution."
31,194.285,211.509,17.22,"with transparency, efficiency and accountability, eliminating redundancies while eliminating field capacities, and turning reform from an episodic effort into continuous day-to-day commitment."
32,212.529,216.09,3.56,"Third, if I said backward, inward, third is outward."
33,216.712,217.793,1.08,to reconnect with people.
34,218.574,222.519,3.94,The UN's legitimacy depends on its ability to deliver concrete results.
35,223.4,231.971,8.57,"Because if people do not see the UN working, they will not believe in multilateralism and forward to collectively design the future."
36,232.791,236.032,3.24,The Centennial of 2045 is a working horizon.
37,236.773,250.938,14.16,"We must design the UN of the future today, with gender parity in the Secretariat, with real representation from all regions, and with the three pillars – peace and security, development and human rights – properly financed and balanced."
38,252.352,258.897,6.54,"The United Nations was stressed on three deeply interconnected pillars, peace and security, sustainable development and human rights."
39,259.897,263.28,3.38,"On peace and security, prevention must lie at the heart of our action."
40,264.297,276.527,12.23,"Quiet diplomacy, early warning, sustained engagement with real actors, and professional mediation are always more effective than reacting after a crisis already erupted."
41,277.468,286.896,9.43,The Secretary General must remain an active channel of communication even when consensus seems distant and must be present also in the field.
42,287.837,291.42,3.58,"On sustainable development, our priorities must be to eradicate hunger and poverty."
43,292.177,305.285,13.11,"reduce inequalities, close the digital divide, and advance meaningful climate action, among other things, so that we may leave young generations a world that offers them opportunity, dignity, and hope."
44,306.166,314.351,8.19,"This also requires a genuine reform of the international financial architecture, so that the most vulnerable countries are not left behind."
45,315.151,320.555,5.4,"On human rights, human dignity must remain at the center of everything the UN does."
46,321.942,331.79,9.85,"Human rights are not only the foundation of a life lived in dignity, they are also a preventive instrument for last peace and global stability."
47,332.591,345.181,12.59,"And central to this is the empowerment of women, girls and youth, whose full and meaningful participation in peace processes and decision-making is essential to building more just and resilient countries and societies."
48,346.43,362.194,15.76,"I think that one of the unique elements of the United Nations is that it's the only irreplaceable space where humanity comes together to overcome common challenges in a world fragmented by disinformation, polarization, and competition of power."
49,362.474,373.317,10.84,"The UN must be a place where difference becomes consensus, wars outweigh violence, and where collective decisions reflect a shared responsibility to preserve peace and human dignity."
50,373.737,375.498,1.76,The 21st century demands a UN
51,376.018,378.942,2.92,"that anticipates, that prevents, that unites."
52,379.643,388.134,8.49,"I am ready to lead that effort with experience, commitment and the deep conviction that multilateralism with the world changes lives."
58,427.849,430.01,2.16,"Well, I think my skill is not only being at the UN."
59,430.67,432.451,1.78,It's the whole history of my life.
60,433.131,439.293,6.16,Because my personal political trajectory has deeply changed myself.
61,439.994,448.997,9.0,"Having been a young girl, when the Chicup d'etat happened in my country, my father, who really believed in rule of law, was put into prison and died by torture."
62,449.397,452.199,2.8,Me and my mom were also in prison and went to exile.
63,452.819,455.36,2.54,And then I learned what happens when institutions fail.
64,456.36,459.181,2.82,when some people take power and don't respect the rule of law.
65,459.902,467.665,7.76,"And then after we've been in exile, I learned the importance of multilateralism because I saw solidarity with the people who were suffering."
66,468.206,482.032,13.83,"And I think not only because of the help of countries, external countries, of course the battle for democracy in our own country, but so far for important countries, help Chile go back to democracy."
67,483.032,496.786,13.75,"When I was elected president of Chile, the first woman president of my country, I also served twice, and also served as cabinet member, as health minister and defense minister, also the first in those positions."
68,497.487,503.273,5.79,"And as you know, as the first executive director of UN Women and afterwards as High Commissioner of Human Rights,"
69,504.293,514.058,9.76,"In 20 years of my public life, both in national and international, I have combined the fundamental principles with realistic practical leadership."
70,514.759,519.741,4.98,But I have been in places where I have to deal with very complicated situations.
72,521.262,521.502,0.24,Yeah.
73,522.043,523.824,1.78,And I have been able to do that.
74,525.425,533.75,8.33,"And also, another thing I think it gives me how the way I act is that I'm a physician, a pediatrician, and epidemiologist."
75,534.311,538.133,3.82,So I'm not only looking at the symptoms.
76,538.654,539.935,1.28,I'm looking at the root causes.
77,540.015,543.997,3.98,"Because if you don't understand what's there, you won't find the real solution."
78,544.278,546.459,2.18,And just one example.
79,547.159,548.2,1.04,Many countries have been there.
80,550.279,552.121,1.84,"every weekend fights, killings."
81,552.681,556.264,3.58,"And it was not, there was different ethnic group, but it was not a matter of identity."
82,556.664,559.367,2.7,It was a matter of lack of water and soil.
83,559.747,565.612,5.87,"So if you want to find the solutions to those and prevent conflict happening, you need to understand really."
84,565.772,567.233,1.46,"And for that, you need to be on the ground."
94,612.762,614.063,1.3,I have to add one.
95,614.628,618.356,3.73,is only one mandate to be elected.
96,619.057,621.944,2.89,That's also the one for 8 billion.
97,622.785,623.888,1.1,I could subscribe it now.
98,625.155,626.416,1.26,I could describe it right now.
99,626.577,627.177,0.6,All of them.
100,627.197,630.321,3.12,"All of them, because that's what I've tried to do throughout my whole life."
101,631.562,632.383,0.82,That's what I believe in.
102,633.003,637.909,4.91,And I believe that you have to make the best decisions with independence.
103,638.089,640.091,2.0,We have to appoint the best possible person.
104,640.652,642.854,2.2,"I mean, there's always going to be pressures."
105,643.335,645.817,2.48,"But I mean, in my life, I've shown that pressure doesn't"
106,647.739,649.599,1.86,I make decisions because I believe.
107,650.08,653.641,3.56,"I was on the hearing at the General Assembly very happily, three hours."
108,653.781,659.984,6.2,"It was long, but it was really important because Member States could listen to what I was thinking about many issues."
109,660.345,663.626,3.28,And I'm looking forward if there are hearings at the Security Council soon.
110,664.166,665.007,0.84,And I've been trying to
111,665.987,668.748,2.76,have activities with civil society in this process.
112,669.208,676.051,6.84,"So I think for the fifth principle that you know, for more than two years, I'm not part of the UN."
113,676.451,678.471,2.02,So I have no conflict of interest on that.
125,750.509,754.731,4.22,"Well, you know, I think you can do a lot."
126,756.032,757.493,1.46,You can do a lot as Secretary General.
127,758.333,762.175,3.84,"First of all, I mentioned the three key tools and"
128,763.047,772.672,9.62,"roles of the UN because I believe that when some countries say we need to go back to basics and think that peace and security is the only thing, I don't agree with them."
129,773.212,777.835,4.62,I think you won't have peace and security if you don't have development and you violate human rights.
130,778.155,779.296,1.14,So we need the three of them.
131,779.696,785.579,5.88,"And I will do my best to insist that the three of them needs to be supported, funded, et cetera."
132,785.999,792.403,6.4,"The second thing is I think the charter has a lot of tools available, early warning, good offices, mediation."
133,793.023,796.746,3.72,And I am a person who's not waiting to do those things.
134,796.866,805.411,8.54,"If I realized that a conflict will come, I will try to go to anticipate myself to go before to the field."
135,805.892,810.955,5.06,"And if it's not able to prevent it, to work on mediation, to use our good offices."
136,811.295,813.477,2.18,"I mean, sometimes you try things and they don't work."
137,813.857,815.198,1.34,"But I think you have to insist, Brian."
142,833.23,850.415,17.18,"Well, what I'll say, if there are many different reasons, because there has been sort of a tendency of sort of not supporting multilateral solution and supporting unilateral solution or mid-lab multilateral solutions."
143,851.083,864.639,13.56,"And I believe that there are always situations that group of countries can help, of course, that's fine, it's always been like that, or they can mediate, but it has to be under the coordination and coherence with the United Nations, with the Security Council."
144,864.999,868.643,3.64,"But I do believe if I'm a Secretary General, I will go there to the field."
145,869.224,871.545,2.32,I won't wait until they invite me to go.
146,872.165,872.865,0.7,I will go there.
147,873.465,878.206,4.74,"If it's necessary, I'll be in front of the building of the Ministry for Foreign Affairs."
148,878.406,884.047,5.64,"Because I believe the Secretary General is the, if I would say, the more important diplomat in the world."
149,884.408,885.628,1.22,And he has to be a moral voice.
150,886.108,888.268,2.16,"So I will speak, but I will go to the field."
151,888.288,889.529,1.24,Because there is discussion.
152,889.749,891.369,1.62,Should I be a secretary or a general?
153,891.769,893.51,1.74,"You'll be more general, given your defense."
154,893.57,896.65,3.08,"I mean, you have to be the chief administrator, according to the charter."
155,896.93,898.171,1.24,But I have to be a general as well.
166,941.271,949.213,7.94,"Well, I remember when I was at UN Women, there was a group working with girls, and they said, I don't want to be at the table."
167,949.733,951.634,1.9,I want to decide the shape of the table.
168,952.034,955.035,3.0,And I understand that's the same thing that these people are saying.
169,955.735,958.596,2.86,"I believe, first of all, there's a lot that can be done with EcoSoc."
170,958.936,967.461,8.52,"Because ECOSOC is the one who accredits which are NGOs, civil society organizations that can be observers, that can participate."
171,967.862,969.923,2.06,"So that can be, I would say, improved."
172,970.043,979.769,9.73,All those procedures can be improved because it takes too long and that means that you have to ensure that more civil society organizations and NGOs can be present at the different places.
173,980.39,983.872,3.48,"We need, though, I have to say, to ensure that they get visas."
174,984.232,991.298,7.07,so they can participate in many of these because I saw in the CSW very few women from some parts of the world and I asked what was it?
175,991.318,993.279,1.96,They said the cost of the ticket.
176,993.639,995.521,1.88,"No, they said they didn't get the visa."
177,995.841,997.742,1.9,So we need to ensure that that happens as well.
178,998.243,1000.104,1.86,We need to enforce the Youth Office.
179,1000.605,1004.247,3.64,We need to support the Youth Office so it can make much more than what it's doing now.
180,1005.068,1011.234,6.17,So I believe that also we have the solution 2250 that on youth and peace and security.
181,1011.254,1016.339,5.09,"And I think we need to make it a reality because that is written, but you have to implement it."
185,1042.153,1051.245,9.09,"Well, everybody who knows me knows that I've been my whole life pushing for gender equality, for women's empowerment."
186,1051.285,1055.11,3.82,I'm continuing to do so as Secretary General or not as Secretary General.
