segment,statement_index,start,end,statement,is_i_statement,is_we_statement,i_pronoun_count,we_pronoun_count
14,0,71.438,74.359,Can I do this so I don't give you my back,True,False,3,0
15,0,74.479,75.539,I can see all of you,True,False,1,0
16,0,75.779,77.319,Is that okay with you,False,False,0,0
17,0,77.499,77.719,Yes,False,False,0,0
18,0,78.199,78.46,Okay,False,False,0,0
19,0,79.26,82.3,So why am I running,True,False,1,0
20,0,82.781,84.201,Yes,False,False,0,0
21,0,85.401,88.002,I have said that the UN,True,False,1,0
22,0,88.853,92.596,And the world today is in a difficult moment,False,False,0,0
23,0,93.377,100.463,"Conflicts are going up, as everybody has said, and they are on the peak since 1945",False,False,0,0
24,0,101.104,105.708,"Trust in the organization is going down, and time is running out",False,False,0,0
25,0,106.969,108.75,And I believe in the UN Charter,True,False,1,0
26,0,109.171,111.733,I believe in the principles of the UN Charter,True,False,1,0
27,0,112.394,112.914,"I have said,",True,False,1,0
28,0,114.709,126.315,"the daughter of peace, of two refugees of the Second World War that were able to have a dignified life because they found peace and respect in Costa Rica",False,False,0,0
29,0,127.436,134.479,And I know what war takes away from you and what peace makes possible,True,False,1,0
30,0,134.98,140.843,"And that's why I'm running, because this is a consequential moment",True,False,1,0
31,0,141.603,149.445,"for the international system, for international law, for the UN, and I want to be part of the solution",True,False,1,0
32,0,149.545,155.367,I want to be the leader of an organization that means so much for so many,True,False,1,0
33,0,156.947,163.649,"Now, I am defending the UN, but not necessarily I am defending the UN as it is",True,False,2,0
34,0,164.906,174.07,"The UN has to reform and has to be more agile, more flexible, more nimble in certain ways",False,False,0,0
35,0,174.67,177.971,It has to learn how to partner with others,False,False,0,0
36,0,179.152,184.534,"You know, in the UN, we have this mentality that everything has to happen inside the UN",False,True,0,1
37,0,187.173,194.621,"not only countries have more capacities, but there are regional organizations today that did not exist in 1945",False,False,0,0
38,0,196.823,206.447,And we need to allow new actors to take a center stage in challenges that the world is facing,False,True,0,1
39,0,206.987,211.028,"The private sector has more capacities today, civil society",False,False,0,0
40,0,211.668,224.473,"So it's not only to bring them to the UN, it's for the UN to go to them and be able to support what they do, the things that they can solve, also help us to solve them",False,True,0,1
41,0,225.253,235.882,And we are too accustomed to compete all the time between us and with the external world to be alone in the centerpiece of everything,False,True,0,2
42,0,236.703,251.155,And when I say that the UN has to change and I have used a phrase that has been misinterpreted because I have said the UN cannot do more with less because we cannot do that forever,True,True,3,1
43,0,252.477,254.841,So we need to do less with less,False,True,0,1
44,0,254.981,260.089,But let me correct that and say we have to be more strategic in what we do,True,True,1,2
45,0,260.469,264.916,We cannot just add on with less resources all the time,False,True,0,1
46,0,266.158,268.041,My second point is peace,True,False,1,0
47,0,269.652,278.514,"And there we have to, you know, I have going around when I step down from the ANTA job to dedicate myself to the campaign",True,True,3,1
48,0,279.414,282.195,And people ask me the same question,True,False,1,0
49,0,282.815,284.675,Where is the UN,False,False,0,0
50,0,285.375,289.576,"You know, in these scenarios of conflict around the world, they don't see us",False,True,0,1
51,0,290.556,294.917,And it's true that preventive diplomacy is something that you don't see,False,False,0,0
52,0,295.997,298.818,But it's also true that there are things happening,False,False,0,0
53,0,299.865,306.856,"in the negotiations, where conflicts are being resolved, where agreements are being forged, and the UN is not there",False,False,0,0
54,0,307.819,312.182,So my second point is that the UN has to be back at the table,True,False,1,0
