segment,start,end,duration_seconds,text
14,84.112,84.833,0.72,"Thank you, Lise."
15,86.217,91.78,5.56,"Excellencies and friends, it is a true pleasure to be back in London."
16,92.581,103.127,10.55,I was here already in January at the invitation of UN and UK and what I did is I spoke about a world in crisis.
17,104.508,113.814,9.31,"Conflicts, famine, climate shocks, whining of global cooperation, the UN under strain."
18,115.596,118.819,3.22,And I wish I could say things have improved.
19,119.86,122.062,2.2,And we know they haven't.
20,123.643,127.306,3.66,That is why I want to speak plainly this evening.
21,128.867,131.209,2.34,Nobody wants another careful speech.
22,132.31,134.472,2.16,What we need is we need action.
23,135.994,138.616,2.62,And I want to focus on four things this evening.
24,139.517,143.2,3.68,"First, I want to talk about prevention."
25,144.619,154.564,9.94,"The UN was created to prevent war, a solemn promise made when bombs were still raining down in this city."
26,155.544,160.307,4.76,"But too often, the UN arrives after the worst has happened."
27,161.307,163.508,2.2,What we need is bold ideas.
28,164.669,169.191,4.52,"As Secretary General, I will establish a prevention and early action hub."
29,170.191,172.274,2.08,And its purpose is very simple.
30,173.054,182.306,9.25,To ensure that warnings reach decision makers early and that action can be taken before the situation gets worse.
31,183.789,190.474,6.69,The Secretary-General must always be ready to lead these efforts.
32,191.235,204.185,12.95,"She must focus on addressing the consequences of a crisis, whether that's diplomacy to secure life-saving support or working together to manage energy shocks or food shortages."
33,205.193,216.639,11.45,"And the Secretary-General must recognise when the UN needs to be centre stage, but also when it's a better place to play a supporting role."
34,218.059,224.783,6.72,"Second, we must put people at the heart of development, not the UN."
35,225.993,233.338,7.34,"With support from countries like the UK, the UN has saved and transformed millions of lives."
36,234.078,236.179,2.1,We must not forget that.
37,237.56,241.983,4.42,The Sustainable Development Goals remain the right ambition.
38,242.923,245.325,2.4,But ambition is not action.
39,246.165,250.368,4.2,Countries do not need another summit or another slogan.
40,251.289,252.81,1.52,They need the money.
41,253.736,257.68,3.94,the technology and the institutions to deliver for their people.
42,260.302,264.165,3.86,Developments cannot be delivered from New York.
43,265.106,266.367,1.26,I strongly believe that.
44,267.488,277.938,10.45,"We need a leaner UN that can focus on where it adds most value, a local first approach that empowers people and governments."
45,278.941,285.403,6.46,"Third, we need to work together to harness and manage the power of AI."
46,286.303,287.663,1.36,This is not a tech issue.
47,288.504,290.164,1.66,It is a security issue.
48,290.904,292.465,1.56,It is a jobs issue.
49,293.425,295.606,2.18,It is a rights issue.
50,296.706,300.527,3.82,No single state or company should call the shots.
51,301.509,317.133,15.62,"The UN cannot and should not regulate everything, but it must bring people together, including civil society and young people, those that are normally shut out of these conversations."
52,317.753,322.455,4.7,"And finally, we have to change the UN for the better, not the cheaper."
53,323.455,325.037,1.58,"Yes, we have to cut costs."
54,325.457,326.378,0.92,That is essential.
55,326.659,328.601,1.94,But that cannot be our only goal.
56,328.741,330.983,2.24,Reform must mean doing better.
57,331.664,335.308,3.64,"That means focusing on demand, not supply."
58,335.829,342.796,6.97,That means being prepared to let go of some functions entirely and focus on the organization's greatest strengths.
59,343.637,355.844,12.21,"Ultimately, you, in this room and outside, will not judge the UN by the number of reform initiatives, nor by whether it has improved your lives and your future."
60,356.705,359.586,2.88,That is the UN I want to build.
61,360.387,363.929,3.54,"With governments, with a strong leadership team, and with you, of course."
62,364.509,369.032,4.52,"I do not pretend to have all the answers, but this is not a task for one individual."
63,369.372,372.574,3.2,The United Nations is a promise we must all keep.
64,373.814,375.695,1.88,So here's what I offer.
65,376.836,380.459,3.62,A life devoted to serving my country and the international community.
66,381.079,387.344,6.26,An insider-outsider perspective as someone who understands the system but is not captured by it.
67,388.164,394.349,6.19,A track record of working across all the pillars of the UN and with people from all walks of life.
68,395.411,405.698,10.29,"a firm commitment without fear or favor to the values of the Charter, to international law, and to serving all Member States and the world 8 billion people."
69,406.518,416.965,10.45,"This summer, I suspect many of you will be hoping that England's men's team will lift the World Cup after 60 long years of waiting."
70,418.385,423.749,5.36,"Well, it has been 80 years of waiting for a woman to lead the UN."
71,425.317,434.222,8.9,So this is our opportunity to show the UN can walk the talk on equality and results.
72,434.522,437.063,2.54,This is the United Nations I'm prepared to build.
73,437.464,440.785,3.32,"Not a perfect institution, but a serious, compassionate one."
74,441.346,446.528,5.18,"Not a louder UN, but a more relevant one that delivers where it matters most."
75,446.909,447.409,0.5,I thank you.
81,486.242,492.888,6.65,"Well, I think I have the experience to navigate in turbulent waters."
82,493.614,496.715,3.1,I think the UN has never been Disneyland.
