segment,statement_index,start,end,statement,is_i_statement,is_we_statement,i_pronoun_count,we_pronoun_count
15,0,90.205,93.267,"Please do this because I'm Latin American, so do that",True,False,1,0
16,0,94.428,105.631,"Well, the excellencies and dear friends, my candidacy for Secretary General of the United Nations is grounded on one clear conviction",True,False,1,0
17,0,106.291,108.672,We must build the United Nations the world needs,False,True,0,1
18,0,109.672,115.274,"A UN that not merely administered the present, but one with the capacity to transform it",False,False,0,0
19,0,116.194,117.835,An organization that's more effective,False,False,0,0
20,0,118.735,123.298,"more transparent, closer to the people, and capable of delivering concrete results",False,False,0,0
21,0,124.199,139.108,"My own vision was born of a difficult and sometimes improbable miracle of dialogue, even though when all odds were against it, I have seen it transform the impossible into the achievable",True,False,2,0
22,0,140.109,145.012,Trust in the international order and trust in our institutions are mutually reinforcing,False,True,0,1
23,0,145.942,149.885,both require robust experience and firm commitment to the short term,False,False,0,0
24,0,151.166,167.881,I stand before you to reclaim the urgent need for dialogue because deliberation and multilateral cooperation have been the operative platform upon which this organization was built and they remain the bridge to our future,True,True,1,1
25,0,169.142,172.665,I believe in a nation that looks in four directions at once,True,False,1,0
26,0,173.603,174.523,"First, backwards",False,False,0,0
27,0,175.444,177.705,It remains true to the principles of the Charter,False,False,0,0
28,0,178.805,183.767,I think the principles of the Charter are the moral and political compass of the international system,True,False,1,0
29,0,184.787,189.029,Any reform must serve to better realise that founding vision,False,False,0,0
30,0,189.809,193.771,"Second, inward, to modernise and strengthen the institution",False,False,0,0
31,0,194.285,211.509,"with transparency, efficiency and accountability, eliminating redundancies while eliminating field capacities, and turning reform from an episodic effort into continuous day-to-day commitment",False,False,0,0
32,0,212.529,216.09,"Third, if I said backward, inward, third is outward",True,False,1,0
33,0,216.712,217.793,to reconnect with people,False,False,0,0
34,0,218.574,222.519,The UN's legitimacy depends on its ability to deliver concrete results,False,False,0,0
35,0,223.4,231.971,"Because if people do not see the UN working, they will not believe in multilateralism and forward to collectively design the future",False,False,0,0
36,0,232.791,236.032,The Centennial of 2045 is a working horizon,False,False,0,0
37,0,236.773,250.938,"We must design the UN of the future today, with gender parity in the Secretariat, with real representation from all regions, and with the three pillars – peace and security, development and human rights – properly financed and balanced",False,True,0,1
38,0,252.352,258.897,"The United Nations was stressed on three deeply interconnected pillars, peace and security, sustainable development and human rights",False,False,0,0
39,0,259.897,263.28,"On peace and security, prevention must lie at the heart of our action",False,True,0,1
40,0,264.297,276.527,"Quiet diplomacy, early warning, sustained engagement with real actors, and professional mediation are always more effective than reacting after a crisis already erupted",False,False,0,0
41,0,277.468,286.896,The Secretary General must remain an active channel of communication even when consensus seems distant and must be present also in the field,False,False,0,0
42,0,287.837,291.42,"On sustainable development, our priorities must be to eradicate hunger and poverty",False,True,0,1
